ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,MISSION_DATE,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE
"
5396",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 0423,52SCH0423,38.13359N, 126.76366E,,,10,500 GP,Radar,,,Close support,17300,,Negative results.,0.01,0.01,5000,EXETER
"
5397",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 0115,52SCH0115,38.06089N, 126.73168E,,,10,500 GP,Radar,,,Close support,17300,,Negative results.,0.01,0.01,5000,EXETER
"
5398",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 1738,52SCH1738,38.27142N, 126.90803E,,,10,500 GP,Radar,,,Close support,17300,,Negative results.,0.01,0.01,5000,EXETER
"
5399",660,17806,19th Bomb Group,1/10/52,B-29,1,,,,,Unknown,,DT 0862,52SDH0862,38.50162N, 127.94492E,,,10,500 GP,Radar,,102338I,Close support,18500,,Negative results.,VT,0.01,5000,EXETER
"
5400",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,DT 1658,52SDH1658,38.46636N, 128.03713E,,,10,500 GP,Radar,,,Close support,18500,,Negative results.,VT,0.01,5000,EXETER
"
5401",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CU 8004,52SCJ8004,38.87667N, 127.61661E,,,10,500 GP,Radar,,,Close support,18500,,Negative results.,VT,0.01,5000,EXETER
"
5402",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CU 7111,52SCJ7111,38.93845N, 127.51157E,,,10,500 GP,Radar,,110015I,Close support,18500,,Negative results.,VT,0.01,5000,EXETER
"
5403",660,17806,19th Bomb Group,1/10/52,B-29,1,,,,,Unknown,,DT 0562,52SDH0562,38.50130N, 127.91052E,,,10,500 GP,Radar,,110134I,Close support,17500,,Negative results.,0.01,0.01,5000,EXETER
"
5404",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 4886,52SCH4886,38.70958N, 127.25182E,,,10,500 GP,Radar,,,Close support,17500,,Negative results.,0.01,0.01,5000,EXETER
"
5405",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 4670,52SCH4670,38.56512N, 127.23237E,,,10,500 GP,Radar,,,Close support,17500,,Negative results.,0.01,0.01,5000,EXETER
"
5406",660,17806,19th Bomb Group,1/10/52,B-29,1,1,,,,Unknown,,CT 5748,52SCH5748,38.36877N, 127.36307E,,,10,500 GP,Radar,,110223I,Close support,17500,,Negative results.,0.01,0.01,5000,EXETER
"
5407",660,17806,19th Bomb Group,1/10/52,B-29,1,,,,,Unknown,,DT 0249,52SDH0249,38.38384N, 127.87794E,,,40,500 GP,Radar,,102104I,Interdiction,20200,,Ground controller reported a good run.,0.01,Non-delay,20000,EXETER
"
5408",660,17806,19th Bomb Group,1/10/52,B-29,1,,1,,,Jettisoned,,,,,,2757N,12730E,40,500 GP,,,,,,,Air-aborted shortly after take-off due to an electrical fire.,,,20000,EXETER
"
5409",660,17806,19th Bomb Group,1/10/52,B-29,1,,1,,,Jettisoned,,,,,,2725N,12715E,40,500 GP,,,,,,,Air-aborted due to number 3 engine failure.,,,20000,EXETER
"
5410",660,17806,19th Bomb Group,1/10/52,B-29,8,,,,Songchon,West railroad by-pass bridge,,BU 5849,52SBJ5849,39.25658N, 126.19534E,,,360,500 GP,Shoran radar,,,Interdiction,20600 - 22250,,"""Post-strike recon of the west by-pass bridge revealed 3 distinct bomb patterns were visible, but lack of photo coverage precluded damage assessment. However, new damage was doen by the raid to the east bridge with 4 cuts and numberous pilings knocked out. The west bridge was considered serviceable.""",0.01,Non-delay,180000,EXETER
"
5411",660,17806,91st Strategic Recon Sq,1/10/52,,1,,,,Mission 1-10-1 accomplished reconnaissance of Route Yoke Three. A O-15 radar scope was used.,,,,,,,,,,,,,101230I,Recon,1800 - 12000,,Fair results.,,,,EXETER
"
5412",660,17806,91st Strategic Recon Sq,1/10/52,,1,,,,"""Mission 1-10-4 accomplished FRJ-168, 183, and 194. K-38 and K-17B aerial cameras were used.""",,,,,,,,,,,,,,Recon,10000 - 20000,,Fair results.,,,,EXETER
"
5413",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Supplies and artilery,,DT 2355,52SDH2355,38.43996N, 128.11769E,,,6,500 GP,Radar,,120004I,Close support,17500 - 20000,,Black smoke was observed.,,,3000,EXETER
"
5414",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Supplies and personnel,,CT 8060,52SCH8060,38.48026N, 127.62423E,,,6,500 GP,Radar,,120152I,Close support,17500 - 20000,,,,,3000,EXETER
"
5415",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Returned,,,,,,,,7,500 GP,,,,,,,Returned due to a bomb rack malfunction.,,,3500,EXETER
"
5416",661,17837,98th Bomb Wing,1/11/52,B-29,1,,,,,Unknown target,,CT 7959,52SCH7959,38.47112N, 127.61294E,,,10,500 GP,Radar,,112130I,Close support,17500 - 20000,,,,,5000,EXETER
"
5417",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Unknown target,,CT 8060,52SCH8060,38.48026N, 127.62423E,,,10,500 GP,Radar,,112143I,Close support,17500 - 20000,,,,,5000,EXETER
"
5418",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Unknown target,,CT 8060,52SCH8060,38.48026N, 127.62423E,,,10,500 GP,Radar,,112156I,Close support,17500 - 20000,,,,,5000,EXETER
"
5419",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Unknown target,,CT 8060,52SCH8060,38.48026N, 127.62423E,,,10,500 GP,Radar,,112207I,Close support,17500 - 20000,,,,,5000,EXETER
"
5420",661,17837,98th Bomb Wing,1/11/52,B-29,1,,,,,Supplies and artilery,,DT 1456,52SDH1456,38.44815N, 128.01445E,,,10,500 GP,Radar,,112334I,Close support,17500 - 20000,,3 secondary explosions were observed.,,,5000,EXETER
"
5421",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Supplies and artilery,,DT 1155,52SDH1155,38.43884N, 127.98021E,,,10,500 GP,Radar,,112350I,Close support,17500 - 20000,,10 bombs hit a convoy.,,,5000,EXETER
"
5422",661,17837,98th Bomb Wing,1/11/52,B-29,1,,,,,Supplies and personnel,,CT 8080,52SCH8080,38.66045N, 127.62078E,,,13,500 GP,Radar,,120123I,Close support,17500 - 20000,,Secondary explosions.,,,6500,EXETER
"
5423",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Supplies and personnel,,CT 8550,52SCH8550,38.39082N, 127.68317E,,,13,500 GP,Radar,,120138I,Close support,17500 - 20000,,,,,6500,EXETER
"
5424",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,Supplies and artilery,,DT 1057,52SDH1057,38.45677N, 127.96849E,,,14,500 GP,Radar,,120017I,Close support,17500 - 20000,,Possible secondary explosions.,,,7000,EXETER
"
5425",661,17837,98th Bomb Wing,1/11/52,B-29,10,1,,,Sinanju,Marshalling yard,,YD 2486,51SYD2486,39.59447N, 125.60865E,,,40,500 GP,Shoran radar,,111944I,Interdiction,20000 - 22000,,"""Post-strike recon disclosed 7 disctinct bomb patterns which could be isolated, plus many strays swcattered around the target area. 1 group of bombs fell across the yard just north of center, leaving all through lines either cut or blocked. Another group of bombs fell across the southern end of the yard which was rendered temporarily unserviceable.""",,VD 1 - 144 hours,20000,EXETER
"
5426",661,17837,98th Bomb Wing,1/11/52,B-29,1,,1,,,Jettisoned,,,,,,3530N,14034E,40,500 GP,,,,,,,Aircraft air-aborted due to radar and fluxgate compas malfunctions.,,,20000,EXETER
"
5427",661,17837,98th Bomb Wing,1/11/52,B-29,10,,,,Sinanju,Marshalling yard,,YD 2486,51SYD2486,39.59447N, 125.60865E,,,356,500 GP,Shoran radar,,111944I,Interdiction,20000 - 22000,,"""Post-strike recon disclosed 7 disctinct bomb patterns which could be isolated, plus many strays swcattered around the target area. 1 group of bombs fell across the yard just north of center, leaving all through lines either cut or blocked. Another group of bombs fell across the southern end of the yard which was rendered temporarily unserviceable.""",0.01,0.01,178000,EXETER
"
5428",661,17837,98th Bomb Wing,1/11/52,B-29,1,1,,,,returned,,,,,,,,5,M16-A1 Leaflet Bomb,,,,,,,,,,2500,EXETER
"
5429",661,17837,98th Bomb Wing,1/11/52,B-29,1,,,,,,,,,,,,,27,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,13500,EXETER
"
5430",661,17837,98th Bomb Wing,1/11/52,B-29,1,,,,,,,,,,,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,18000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000,EXETER
"
5431",661,17837,98th Bomb Wing,1/11/52,B-29,10,1,,,Sinanju,Marshalling yard,,YD 2486,51SYD2486,39.59447N, 125.60865E,,,6,M-46,Shoran radar,,111944I,Interdiction,20000 - 22000,,"""Post-strike recon disclosed 7 disctinct bomb patterns which could be isolated, plus many strays swcattered around the target area. 1 group of bombs fell across the yard just north of center, leaving all through lines either cut or blocked. Another group of bombs fell across the southern end of the yard which was rendered temporarily unserviceable.""",,,1500,EXETER
"
5432",661,17837,91st Strategic Recon Sq,1/11/52,,1,,,,Mission 1-11-1 accomplished reconnaissance of Route Yoke Three. A O-15 radar scope was used.,,,,,,,,,,,,,,Recon,12000,,Good results.,,,,EXETER
"
5433",662,17867,307th Bomb Wing,1/12/52,B-29,1,1,,,,Jettisoned,,,,,,3653N,12648E,4,500 GP,,,,,,,Release malfunction.,,,2000,EXETER
"
5434",662,17867,307th Bomb Wing,1/12/52,B-29,1,1,,,,Returned,,,,,,,,4,500 GP,,,,,,,Release malfunction and inability to salvo.,,,2000,EXETER
"
5435",662,17867,307th Bomb Wing,1/12/52,B-29,1,,,,,Front line target,,Unknown,,,,,,17,500 GP,Radar,,,Interdiction,21000,,,0.01,0.01,8500,EXETER
"
5436",662,17867,307th Bomb Wing,1/12/52,B-29,1,,,,,Troops and supplies,,Ct block,,,,,,19,500 GP,Radar,,,Close support,17500,,,0.01,0.01,9500,EXETER
"
5437",662,17867,307th Bomb Wing,1/12/52,B-29,1,1,,,,Troops and supplies,,Ct block,,,,,,19,500 GP,Radar,,,Close support,17500,,,0.01,0.01,9500,EXETER
"
5438",662,17867,307th Bomb Wing,1/12/52,B-29,1,1,,,,Troops,,CT 803680 to CT 809682,,,,,,19,500 GP,Radar,,122236I,Close support,18500,,,0.01,0.01,9500,EXETER
"
5439",662,17867,307th Bomb Wing,1/12/52,B-29,1,1,,,,Front line target,,CT 820682,52SCH0682,38.66535N, 126.77019E,,,19,500 GP,Radar,,130041I,Close support,17000,,,0.01,0.01,9500,EXETER
"
5440",662,17867,307th Bomb Wing,1/12/52,B-29,1,,,,,Troops,,CT 811681 to CT 817678,,,,,,20,500 GP,Radar,,1222301I,Close support,18500,,,0.01,0.01,10000,EXETER
"
5441",662,17867,307th Bomb Wing,1/12/52,B-29,1,,,,,Front line target,,CT 821681,52SCH1681,38.65848N, 126.88532E,,,20,500 GP,Radar,,130028I,Close support,17000,,,0.01,0.01,10000,EXETER
"
5442",662,17867,307th Bomb Wing,1/12/52,B-29,1,,,,,Front line target,,Unknown,,,,,,37,500 GP,Radar,,,Interdiction,22000,,,0.01,0.01,18500,EXETER
"
5443",662,17867,307th Bomb Wing,1/12/52,B-29,1,,1,,,Jettisoned,,,,,,2711N,12740E,37,500 GP,,,,,,,Air-aborted due to fire in number 3 engine.,,,18500,EXETER
"
5444",662,17867,307th Bomb Wing,1/12/52,B-29,10,,,,Sinanju,East railroad by-pass bridge,,YD 2488,51SYD2488,39.61247N, 125.60933E,,,345,500 GP,Shoran radar,,121942I,Interdiction,19170 - 21900,,,0.01,0.01,172500,EXETER
"
5445",662,17867,98th Bomb Wing,1/12/52,B-29,1,,,,,,,,,,,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000,EXETER
"
5446",662,17867,91st Strategic Recon Sq,1/12/52,,1,,,,Mission 1-12-1 accomplished reconnaissance of Route Yoke Three. A O-15 radar scope was used.,,,,,,,,,,,,,,Recon,1800 - 12000,,Fair results.,,,,EXETER
"
5447",662,17867,91st Strategic Recon Sq,1/12/52,,1,,,,"""Mission 1-12-2 accomplished FRJ-150, 158, 187, and 188. A T-11 camera was used.""",,,,,,,,,,,,,,Recon,5000,,Fair results.,,,,EXETER
"
5448",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 1658,52SDH1658,38.46636N, 128.03713E,,,1,500 GP,Radar,,132052I,Close support,17500,,,LDF 1 - 144 hours,,500,EXETER
"
5449",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 2058,52SDH2058,38.46673N, 128.08298E,,,1,500 GP,Radar,,,Close support,17500,,,LDF 1 - 144 hours,,500,EXETER
"
5450",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 2454,52SDH2454,38.43104N, 128.12926E,,,2,500 GP,Radar,,132130I,Close support,17500,,,LDF 1 - 144 hours,,1000,EXETER
"
5451",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Supplies,,CT 5455,52SCH5455,38.43134N, 127.32729E,,,4,500 GP,Radar,,132111I,Interdiction,20500,,,LDF 1 - 144 hours,,2000,EXETER
"
5452",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 1757,52SDH1757,38.45744N, 128.04871E,,,4,500 GP,Radar,,,Interdiction,17000,,,LDF 1 - 144 hours,,2000,EXETER
"
5453",663,13-52,19th Bomb Group,1/13/52,B-29,1,,,,,Unknown target,,DT 1658,52SDH1658,38.46636N, 128.03713E,,,9,500 GP,Radar,,132052I,Close support,17500,,,0.01,0.01,4500,EXETER
"
5454",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 2058,52SDH2058,38.46673N, 128.08298E,,,9,500 GP,Radar,,,Close support,17500,,,0.01,0.01,4500,EXETER
"
5455",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Troop concentration,,CT 0560,52SCH0560,38.46701N, 126.76486E,,,9,500 GP,Radar,,,Close support,18500,,Ground controller reported good runs.,VT,0.01,4500,EXETER
"
5456",663,13-52,19th Bomb Group,1/13/52,B-29,1,,,,,Troop concentration,,CT 6060,52SCH6060,38.47735N, 127.39501E,,,10,500 GP,Radar,,132247I,Close support,18500,,Ground controller reported good runs.,VT,0.01,5000,EXETER
"
5457",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Troop concentration,,CT 3365,52SCH3365,38.51773N, 127.08443E,,,10,500 GP,Radar,,,Close support,18500,,Ground controller reported good runs.,VT,0.01,5000,EXETER
"
5458",663,13-52,19th Bomb Group,1/13/52,B-29,1,,,,,Unknown target,,DT 165509,52SDH5509,38.02759N, 128.48727E,,,10,500 GP,Radar,,140337I,Close support,17500,,,0.01,Non-delay,5000,EXETER
"
5459",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 165513,52SDH5513,38.06364N, 128.48701E,,,10,500 GP,Radar,,,Close support,17500,,Secondary explosions.,0.01,Non-delay,5000,EXETER
"
5460",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 314631,52SDH4631,38.22536N, 128.38306E,,,10,500 GP,Radar,,,Close support,17500,,Secondary explosions.,0.01,Non-delay,5000,EXETER
"
5461",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 165509,52SDH5509,38.02759N, 128.48727E,,,10,500 GP,Radar,,140414I,Close support,17500,,,0.01,Non-delay,5000,EXETER
"
5462",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Troop concentration,,BT 9560,52SBH9560,38.46477N, 126.65032E,,,12,500 GP,Radar,,13236I,Close support,18500,,Ground controller reported good runs.,VT,0.01,6000,EXETER
"
5463",663,13-52,19th Bomb Group,1/13/52,B-29,1,1,,,,Unknown target,,DT 2454,52SDH2454,38.43104N, 128.12926E,,,18,500 GP,Radar,,132130I,Close support,17500,,,0.01,0.01,9000,EXETER
"
5464",663,13-52,19th Bomb Group,1/13/52,B-29,9,1,,,Sunchon,North railroad by-pass bridge,,YD 5670,51SYD5670,39.44153N, 125.97472E,,,36,500 GP,Shoran radar,,,Interdiction,20770 - 22370,,,LDF 1 - 144 hours,,18000,EXETER
"
5465",663,13-52,19th Bomb Group,1/13/52,B-29,1,,,,,Supplies,,CT 5455,52SCH5455,38.43134N, 127.32729E,,,36,500 GP,Radar,,132111I,Interdiction,20500,,,0.01,0.01,18000,EXETER
"
5466",663,13-52,19th Bomb Group,1/13/52,B-29,1,,,,,Unknown target,,DT 1757,52SDH1757,38.45744N, 128.04871E,,,36,500 GP,Radar,,132216I,Interdiction,17000,,,0.01,0.01,18000,EXETER
"
5467",663,13-52,19th Bomb Group,1/13/52,B-29,1,,1,,,Jettisoned,,,,,,2653N,12650E,40,500 GP,,,,,,,Aircraft air-aborted due to number 4 engine failure because of an excessive oil leak.,,,20000,EXETER
"
5468",663,13-52,19th Bomb Group,1/13/52,B-29,9,,,,Sunchon,North railroad by-pass bridge,,YD 5670,51SYD5670,39.44153N, 125.97472E,,,324,500 GP,Shoran radar,,,Interdiction,20770 - 22370,,"""Only a small percentage of bomb drops could be found in the immediate target area around the north by-pass railroad bridge. Apparently most of the bombs fell in the river. One large bomb pattern crossed the old bridge. 2 spans, each approximately 30 ft long, were knocked out thus making the bridge unserviceable.""",0.01,0.01,162000,EXETER
"
5469",663,13-52,98th Bomb Wing,1/13/52,B-29,1,,,,,,,,,,,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000,EXETER
"
5470",663,13-52,91st Strategic Recon Sq,1/13/52,,1,,,,Mission 1-13-1 accomplished reconnaissance of Route Yoke Three. K-30 and K-17 aerial cameras were used.,,,,,,,,,,,,,,Recon,2500 - 3000,,Good results.,,,,EXETER
"
5471",663,13-52,91st Strategic Recon Sq,1/13/52,,1,,,,"""Mission 1-13-2 accomplished FRJ-217, 254, 255, 257, 258, 259, 248, 220, 221, 222, and 223. A K-17 aerial camera with a 6 inch cone was used.""",,,,,,,,,,,,,,Recon,10000,,Good results.,,,,EXETER
"
5472",663,13-52,91st Strategic Recon Sq,1/13/52,,1,,,,"""Mission 1-13-3 accomplished FRJ-256, 247, and 246. A K-18 aerial camera with a 6 inch cone was used.""",,,,,,,,,,,,,,Recon,5000,,Poor results.,,,,EXETER
"
5473",664,14-52,98th Bomb Wing,1/14/52,B-29,1,,,,,Unknown,,CT 7763,52SCH7763,38.50688N, 127.58931E,,,10,500 GP,Radar,,140112I,Close support,,,,,,5000,EXETER
"
5474",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Unknown,,CT 7996,52SCH7996,38.80446N, 127.60650E,,,10,500 GP,Radar,,140126I,Close support,,,,,,5000,EXETER
"
5475",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Unknown,,CT 8162,52SCH8162,38.49842N, 127.63535E,,,10,500 GP,Radar,,140145I,Close support,,,,,,5000,EXETER
"
5476",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Unknown,,CT 7762,52SCH7762,38.49787N, 127.58949E,,,10,500 GP,Radar,,140155I,Close support,,,,,,5000,EXETER
"
5477",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Jettisoned,,,,,,,,18,500 GP,,,,,,,Salvoed due to rear bomb bay door malfunction over target area.,0.01,Non-delay,9000,EXETER
"
5478",664,14-52,98th Bomb Wing,1/14/52,B-29,1,,,,,Unknown,,Unknown,,,,,,20,500 GP,Radar,,142330I,Close support,,,,,,10000,EXETER
"
5479",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Unknown,,Unknown,,,,,,20,500 GP,Radar,,142345I,Close support,,,,,,10000,EXETER
"
5480",664,14-52,98th Bomb Wing,1/14/52,B-29,1,,,,Hungnam,Marshalling yard,,CV 8010,52SCK8010,39.83153N, 127.59765E,,,40,500 GP,Radar,,142020I,Interdiction,15500,,Crew observed 2 or 3 green-flash secondary explosions.,0.01,Non-delay,20000,EXETER
"
5481",664,14-52,98th Bomb Wing,1/14/52,B-29,11,,,,Sinanju,West railroad by-pass bridge,,YD 2488,51SYD2488,39.61247N, 125.60933E,,,415,500 GP,Shoran radar,,,Interdiction,21000 - 23100,,"""Crews """"observed flak bombs walk across target area.""""""",0.01,Non-delay,207500,EXETER
"
5482",664,14-52,98th Bomb Wing,1/14/52,B-29,1,,,,,,,,,,,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000,EXETER
"
5483",664,14-52,98th Bomb Wing,1/14/52,B-29,1,1,,,,Jettisoned,,,,,,,,6,M-46,,,,,,,Salvoed due to rear bomb bay door malfunction over target area.,,,1500,EXETER
"
5484",664,14-52,98th Bomb Wing,1/14/52,B-29,11,1,,,Sinanju,West railroad by-pass bridge,,YD 2488,51SYD2488,39.61247N, 125.60933E,,,12,M-46,Shoran radar,,,Interdiction,21000 - 23100,,"""Crews """"observed flak bombs walk across target area.""""""",,,3000,EXETER
"
5485",664,14-52,98th Bomb Wing,1/14/52,B-29,0,,1,,,,,,,,,,,,,,,,,,,Ground-aborted due to an excessive magneto drop on number 4 engine.,,,,EXETER
"
5486",664,14-52,91st Strategic Recon Sq,1/14/52,,1,,,,Mission 1-14-1 accomplished reconnaissance of Route Yoke Three. A K-22 aerial camera with a 24 inch cone and n O-15 radar scope were used.,,,,,,,,,,,,,,Recon,2000 - 12000,,Good results.,,,,EXETER
"
5487",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Returned,,,,,,,,1,500 GP,,,,,,,Rack malfunction.,,,500,EXETER
"
5488",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Jettisoned,,,,,,3218N,12639E,7,500 GP,,,,,,,Bomb release failure.,,,3500,EXETER
"
5489",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Jettisoned,,,,,,3230N,12615E,8,500 GP,,,,,,,Rack failure over the target.,,,4000,EXETER
"
5490",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 6361,52SCH6361,38.48682N, 127.42919E,,,9,500 GP,Radar,,152212I,Close support,18500,,,VT,0.01,4500,EXETER
"
5491",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 783620 to CT 786622,,,,,,9,500 GP,Radar,,160049I,Close support,17500,,,0.01,0.01,4500,EXETER
"
5492",665,15-52,307th Bomb Wing,1/15/52,B-29,1,,,,,Unknown target,,CT 9859,52SCH9859,38.47350N, 127.83069E,,,10,500 GP,Radar,,152127I,Close support,18500,,,VT,0.01,5000,EXETER
"
5493",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 9958,52SCH9958,38.46460N, 127.84230E,,,10,500 GP,Radar,,152140I,Close support,18500,,,VT,0.01,5000,EXETER
"
5494",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 9756,52SCH9756,38.44635N, 127.81967E,,,10,500 GP,Radar,,152154I,Close support,18500,,,VT,0.01,5000,EXETER
"
5495",665,15-52,307th Bomb Wing,1/15/52,B-29,1,,,,,Unknown target,,CT 782631 to CT 785637,,,,,,10,500 GP,Radar,,160021I,Close support,17500,,,0.01,0.01,5000,EXETER
"
5496",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 776616 to CT 774619,,,,,,10,500 GP,Radar,,160029I,Close support,17500,,,0.01,0.01,5000,EXETER
"
5497",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Unknown target,,CT 777622 to CT 777627,,,,,,10,500 GP,Radar,,160039I,Close support,17500,,,0.01,0.01,5000,EXETER
"
5498",665,15-52,307th Bomb Wing,1/15/52,B-29,1,1,,,,Jettisoned,,,,,,,,17,500 GP,,,,,,,Bomb release mechanism difficulties.,,,8500,EXETER
"
5499",665,15-52,307th Bomb Wing,1/15/52,B-29,1,,,,,Troops and supplies,,CT 968548 to CT 972435,,,,,,39,500 GP,Radar,,152001I,Close support,17500,,,,,19500,EXETER
"
5500",665,15-52,307th Bomb Wing,1/15/52,B-29,12,,,,Songchon,West railroad- by-pass bridge,,BY 5849,,,,,,410,500 GP,Shoran radar,,,Interdiction,19740 - 23100,,According to post-strike recon there were not enough new craters visible to plot bomb patterns. The west bridge was cut in 2 places; a 20 ft cut near the southern end and a 2 span cut near the northern end. The east bridge was over 50 percent destroyed by previous attacks.,0.01,0.01,205000,EXETER
"
5501",665,15-52,98th Bomb Wing,1/15/52,B-29,1,,,,,,,,,,,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,18000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000,EXETER
"
5502",665,15-52,307th Bomb Wing,1/15/52,B-29,12,1,,,Songchon,West railroad- by-pass bridge,,BY 5849,,,,,,6,M-46,Shoran radar,,,Interdiction,19740 - 23100,,,43,3.7,1500,EXETER
"
5503",665,15-52,307th Bomb Wing,1/15/52,B-29,12,1,,,Songchon,West railroad- by-pass bridge,,BY 5849,,,,,,410,M-46,Shoran radar,,,Interdiction,19740 - 23100,,,42.5,3.7,102500,EXETER
"
5504",665,15-52,91st Strategic Recon Sq,1/15/52,,1,,,,Mission 1-15-1 accomplished reconnaissance of Route Yoke Three. A K-17 aerial camera with a 24 inch cone and an O-15 radar scope were used.,,,,,,,,,,,,,,Recon,1500 - 20000,,Fair results.,,,,EXETER
"
5505",665,15-52,91st Strategic Recon Sq,1/15/52,,1,,,,Mission 1-15-2 accomplished Communication Lines 54 and 58. A T-11 camera was used.,,,,,,,,,,,,,,Recon,8000,,Fair results.,,,,EXETER
"
5506",665,15-52,91st Strategic Recon Sq,1/15/52,,1,,,,"""Mission 1-15-1A accomplished vertical coverage of FRJ-25, 214, 215, 246, 248, and 253. A K-38 aerial camera with a 24 and 36 inch cones was used.""",,,,,,,,,,,,,,Recon,30000,,Fair results.,,,,EXETER
"
5507",666,16-52,98th Bomb Wing,1/16/52,B-29,1,1,,,,Supply and personnel,,CT 0037,52SCH0037,38.25879N, 126.71411E,,,13,500 GP,Radar,,161851I,Close support,17500 - 18500,,Secondary explosions were observed.,Instantaneous,Non-delay,6500,EXETER
"
5508",666,16-52,98th Bomb Wing,1/16/52,B-29,1,,,,,Supply and personnel,,BT 9536,52SBH9536,38.24866N, 126.65730E,,,13,500 GP,Radar,,162007I,Close support,17500 - 18500,,,Instantaneous,Instantaneous,6500,EXETER
